PRACTICE_CODE_DEM,PRACTICE_NAME,PCN_ODS_CODE,PCN_NAME,SUB_ICB_ODS_CODE,SUB_ICB_ONS_CODE,ASS_Declined_GP_Mem_Ass,ASS_Declined_GP_Mem_Clinic,ASS_Received_GP,ASS_Received_GP_Mem_Ass,ASS_Received_GP_Mem_Clinic,DEMENTIA_REGISTER_0_64,DEMENTIA_REGISTER_65_PLUS,DIAG_Declined_Care_Plan,DIAG_Received_Care_Plan,DIAG_Received_Med_Rev,PAT_LIST_0_64,PAT_LIST_65_PLUS,PRACTICE_CODE_GP,PRACTICE_POSTCODE,PCN_CODE,ICB_CODE,ICB_NAME,SUPPLIER_NAME
G83062,SLADE GREEN MEDICAL CTR.,U67110,NORTH BEXLEY PCN,72Q,E38000244,0.0,0.0,17.0,0.0,8.0,6.0,24.0,0.0,25.0,6.0,10646.0,946.0,G83062,DA8 2HS,U67110,QKK,NHS South East London Integrated Care Board,EMIS
G83065,BURNEY STREET PMS,U46593,GREENWICH WEST PCN,72Q,E38000244,0.0,0.0,5.0,1.0,1.0,1.0,36.0,0.0,30.0,20.0,13843.0,1250.0,G83065,SE10 8EX,U46593,QKK,NHS South East London Integrated Care Board,EMIS
G83066,SIDCUP MEDICAL CENTRE,U50197,FROGNAL PCN,72Q,E38000244,0.0,0.0,53.0,0.0,29.0,5.0,513.0,0.0,148.0,16.0,24619.0,6050.0,G83066,DA14 6BU,U50197,QKK,NHS South East London Integrated Care Board,EMIS
G83067,VALENTINE HEALTH PARTNERSHIP,U94126,VALENTINE HEALTH PCN,72Q,E38000244,0.0,0.0,104.0,70.0,17.0,8.0,61.0,1.0,46.0,36.0,29435.0,2344.0,G83067,SE18 6PZ,U94126,QKK,NHS South East London Integrated Care Board,EMIS
G83628,NEW ELTHAM AND BLACKFEN MEDICAL CENTRE,U39263,ELTHAM PCN,72Q,E38000244,0.0,0.0,93.0,0.0,0.0,0.0,32.0,0.0,23.0,16.0,9402.0,1413.0,G83628,SE9 3PT,U39263,QKK,NHS South East London Integrated Care Board,EMIS
G83630,RIVERSIDE SURGERY,U67110,NORTH BEXLEY PCN,72Q,E38000244,1.0,0.0,12.0,3.0,3.0,3.0,42.0,1.0,30.0,9.0,11020.0,1421.0,G83630,DA8 1RQ,U67110,QKK,NHS South East London Integrated Care Board,EMIS
G83631,ABBEYSLADE PMS (DR CHAND),U24992,HERITAGE PCN,72Q,E38000244,0.0,0.0,2.0,0.0,1.0,2.0,15.0,0.0,10.0,9.0,4396.0,501.0,G83631,SE2 0ER,U24992,QKK,NHS South East London Integrated Care Board,EMIS
G83633,CONWAY PMS,U11690,RIVERVIEW HEALTH PCN,72Q,E38000244,0.0,0.0,11.0,0.0,3.0,0.0,8.0,0.0,6.0,*,4745.0,504.0,G83633,SE18 1AH,U11690,QKK,NHS South East London Integrated Care Board,EMIS
G83635,WAVERLEY PMS,U24992,HERITAGE PCN,72Q,E38000244,0.0,0.0,2.0,0.0,0.0,0.0,12.0,0.0,10.0,10.0,3812.0,712.0,G83635,SE18 7QU,U24992,QKK,NHS South East London Integrated Care Board,EMIS
G83641,PLUMBRIDGE MEDICAL CENTRE,U46593,GREENWICH WEST PCN,72Q,E38000244,0.0,0.0,1.0,0.0,0.0,1.0,10.0,0.0,11.0,9.0,3249.0,329.0,G83641,SE10 8PA,U46593,QKK,NHS South East London Integrated Care Board,EMIS
G83642,CRAYFORD TOWN SURGERY,U67110,NORTH BEXLEY PCN,72Q,E38000244,0.0,0.0,13.0,1.0,7.0,1.0,22.0,1.0,4.0,*,9253.0,1061.0,G83642,DA1 4ER,U67110,QKK,NHS South East London Integrated Care Board,EMIS
G83647,PLUMSTEAD AND WICKHAM LANE SURGERY,U24992,HERITAGE PCN,72Q,E38000244,0.0,0.0,11.0,0.0,4.0,1.0,25.0,0.0,20.0,7.0,7579.0,833.0,G83647,SE18 1SE,U24992,QKK,NHS South East London Integrated Care Board,EMIS
G83651,WOODLANDS SURGERY,U46593,GREENWICH WEST PCN,72Q,E38000244,0.0,0.0,4.0,1.0,1.0,0.0,22.0,0.0,16.0,5.0,5626.0,695.0,G83651,SE10 9UB,U46593,QKK,NHS South East London Integrated Care Board,EMIS
G83654,BANNOCKBURN SURGERY,U24992,HERITAGE PCN,72Q,E38000244,0.0,0.0,5.0,0.0,1.0,0.0,8.0,0.0,7.0,5.0,5156.0,525.0,G83654,SE18 1ES,U24992,QKK,NHS South East London Integrated Care Board,EMIS
G83673,ELMSTEAD MEDICAL CLINIC,U39263,ELTHAM PCN,72Q,E38000244,0.0,0.0,4.0,0.0,2.0,1.0,18.0,0.0,18.0,14.0,6228.0,707.0,G83673,SE9 3JD,U39263,QKK,NHS South East London Integrated Care Board,EMIS
G83680,ELTHAM MEDICAL PRACTICE,U39263,ELTHAM PCN,72Q,E38000244,0.0,0.0,33.0,0.0,6.0,0.0,146.0,1.0,101.0,68.0,21684.0,4352.0,G83680,SE9 5DQ,U39263,QKK,NHS South East London Integrated Care Board,EMIS
G84003,LINKS MEDICAL PRACTICE,U03551,"MOTTINGHAM, DOWNHAM & CHISLEHURST PCN",72Q,E38000244,0.0,0.0,29.0,0.0,8.0,7.0,51.0,1.0,53.0,45.0,10219.0,1676.0,G84003,BR1 4PX,U03551,QKK,NHS South East London Integrated Care Board,EMIS
G84004,STOCK HILL SURGERY,U77447,FIVE ELMS PCN,72Q,E38000244,0.0,0.0,26.0,2.0,15.0,3.0,120.0,0.0,80.0,56.0,6797.0,2689.0,G84004,TN16 3TJ,U77447,QKK,NHS South East London Integrated Care Board,EMIS
G84006,SUMMERCROFT SURGERY,U77447,FIVE ELMS PCN,72Q,E38000244,0.0,0.0,23.0,0.0,10.0,3.0,101.0,1.0,69.0,28.0,7128.0,2495.0,G84006,BR6 7AR,U77447,QKK,NHS South East London Integrated Care Board,EMIS
G84008,MANOR ROAD SURGERY,U36188,BECKENHAM PCN,72Q,E38000244,0.0,0.0,12.0,0.0,1.0,0.0,27.0,0.0,18.0,7.0,5138.0,1176.0,G84008,BR3 5LE,U36188,QKK,NHS South East London Integrated Care Board,EMIS
G84009,FAMILY SURGERY,U87524,ORPINGTON PCN,72Q,E38000244,0.0,0.0,35.0,1.0,9.0,1.0,47.0,0.0,46.0,33.0,3306.0,1003.0,G84009,BR6 6BG,U87524,QKK,NHS South East London Integrated Care Board,EMIS
G84010,THE CHISLEHURST PARTNERSHIP,U03551,"MOTTINGHAM, DOWNHAM & CHISLEHURST PCN",72Q,E38000244,0.0,0.0,53.0,1.0,16.0,4.0,207.0,2.0,154.0,122.0,18832.0,4769.0,G84010,BR7 5AQ,U03551,QKK,NHS South East London Integrated Care Board,EMIS
G84011,EDEN PARK SURGERY,U36188,BECKENHAM PCN,72Q,E38000244,0.0,0.0,11.0,0.0,3.0,4.0,50.0,0.0,45.0,32.0,6793.0,1510.0,G84011,BR3 4DQ,U36188,QKK,NHS South East London Integrated Care Board,EMIS
G84015,STATION ROAD SURGERY,U98580,HAYES WICK PCN,72Q,E38000244,0.0,0.0,11.0,0.0,5.0,2.0,86.0,0.0,70.0,38.0,7785.0,2775.0,G84015,BR4 0PU,U98580,QKK,NHS South East London Integrated Care Board,EMIS
G84017,ADDINGTON ROAD SURGERY,U98580,HAYES WICK PCN,72Q,E38000244,0.0,0.0,27.0,0.0,12.0,0.0,57.0,5.0,34.0,25.0,6653.0,2095.0,G84017,BR4 9BG,U98580,QKK,NHS South East London Integrated Care Board,EMIS
G84018,CORNERWAYS SURGERY,U36188,BECKENHAM PCN,72Q,E38000244,0.0,0.0,8.0,1.0,4.0,4.0,82.0,1.0,63.0,42.0,5660.0,1898.0,G84018,BR3 5LG,U36188,QKK,NHS South East London Integrated Care Board,EMIS
G84020,CHELSFIELD SURGERY,U87524,ORPINGTON PCN,72Q,E38000244,0.0,0.0,26.0,0.0,10.0,1.0,74.0,0.0,59.0,51.0,7037.0,2086.0,G84020,BR6 6HD,U87524,QKK,NHS South East London Integrated Care Board,EMIS
G84023,SOUTHBOROUGH LANE SURGERY,U77447,FIVE ELMS PCN,72Q,E38000244,0.0,0.0,25.0,0.0,7.0,2.0,86.0,3.0,57.0,28.0,8002.0,1989.0,G84023,BR2 9GT,U77447,QKK,NHS South East London Integrated Care Board,EMIS
G84024,BROMLEY COMMON PRACTICE,U77447,FIVE ELMS PCN,72Q,E38000244,0.0,0.0,25.0,3.0,9.0,6.0,54.0,2.0,32.0,18.0,8362.0,1411.0,G84024,BR2 9GT,U77447,QKK,NHS South East London Integrated Care Board,EMIS
G84027,ELM HOUSE SURGERY,U36188,BECKENHAM PCN,72Q,E38000244,0.0,0.0,34.0,1.0,13.0,5.0,199.0,0.0,60.0,28.0,28525.0,4465.0,G84027,BR3 3FD,U36188,QKK,NHS South East London Integrated Care Board,EMIS
G84028,ST JAMES' PRACTICE,U36188,BECKENHAM PCN,72Q,E38000244,0.0,0.0,1.0,0.0,1.0,6.0,73.0,0.0,64.0,39.0,5783.0,1342.0,G84028,BR3 4DG,U36188,QKK,NHS South East London Integrated Care Board,EMIS
G84030,FORGE CLOSE SURGERY,U98580,HAYES WICK PCN,72Q,E38000244,0.0,0.0,15.0,1.0,2.0,1.0,42.0,0.0,32.0,25.0,5466.0,1381.0,G84030,BR2 7LL,U98580,QKK,NHS South East London Integrated Care Board,EMIS
G84032,KNOLL MEDICAL PRACTICE,U87524,ORPINGTON PCN,72Q,E38000244,0.0,0.0,28.0,0.0,13.0,2.0,134.0,1.0,87.0,50.0,11418.0,2970.0,G84032,BR6 0FE,U87524,QKK,NHS South East London Integrated Care Board,EMIS
G84033,PICKHURST SURGERY,U98580,HAYES WICK PCN,72Q,E38000244,0.0,0.0,16.0,0.0,2.0,2.0,67.0,1.0,49.0,44.0,7066.0,1627.0,G84033,BR2 7JF,U98580,QKK,NHS South East London Integrated Care Board,EMIS
G84035,TUDOR WAY SURGERY,U87524,ORPINGTON PCN,72Q,E38000244,0.0,0.0,2.0,0.0,1.0,1.0,42.0,1.0,33.0,10.0,7052.0,1553.0,G84035,BR5 1LH,U87524,QKK,NHS South East London Integrated Care Board,EMIS
G84039,NORHEADS LANE SURGERY,U77447,FIVE ELMS PCN,72Q,E38000244,0.0,0.0,0.0,0.0,0.0,1.0,27.0,0.0,26.0,18.0,3141.0,663.0,G84039,TN16 3XS,U77447,QKK,NHS South East London Integrated Care Board,EMIS
G84040,BALLATER SURGERY,U87524,ORPINGTON PCN,72Q,E38000244,0.0,0.0,23.0,1.0,7.0,1.0,61.0,0.0,44.0,21.0,8947.0,1705.0,G84040,BR6 0DP,U87524,QKK,NHS South East London Integrated Care Board,EMIS
G84607,WICKHAM PARK SURGERY,U98580,HAYES WICK PCN,72Q,E38000244,0.0,0.0,11.0,0.0,6.0,2.0,50.0,0.0,40.0,30.0,4276.0,1161.0,G84607,BR4 9PS,U98580,QKK,NHS South East London Integrated Care Board,EMIS
G84609,BANK HOUSE SURGERY,U87524,ORPINGTON PCN,72Q,E38000244,0.0,0.0,17.0,0.0,6.0,0.0,23.0,0.0,21.0,16.0,2622.0,823.0,G84609,BR6 7BA,U87524,QKK,NHS South East London Integrated Care Board,EMIS
G84621,WHITEHOUSE SURGERY,U87524,ORPINGTON PCN,72Q,E38000244,0.0,0.0,11.0,1.0,5.0,0.0,24.0,2.0,16.0,9.0,3459.0,663.0,G84621,BR5 1EL,U87524,QKK,NHS South East London Integrated Care Board,EMIS
G84627,GREEN STREET GREEN MED CT,U87524,ORPINGTON PCN,72Q,E38000244,0.0,0.0,13.0,0.0,3.0,0.0,66.0,2.0,42.0,34.0,5285.0,1743.0,G84627,BR6 6BG,U87524,QKK,NHS South East London Integrated Care Board,EMIS
G85001,FOREST HILL GROUP PRACTICE,U60094,SOUTH SOUTHWARK PCN,72Q,E38000244,17.0,0.0,381.0,24.0,11.0,1.0,56.0,0.0,42.0,20.0,8621.0,1633.0,G85001,SE22 0SQ,U60094,QKK,NHS South East London Integrated Care Board,EMIS
G85002,STREATHAM HIGH PRACTICE,U18315,AT MEDICS STREATHAM PCN,72Q,E38000244,0.0,0.0,11.0,0.0,0.0,2.0,24.0,0.0,18.0,5.0,22666.0,1125.0,G85002,SW16 2ST,U18315,QKK,NHS South East London Integrated Care Board,EMIS
G85006,THE ACORN & GAUMONT HOUSE SURGERY,U60094,SOUTH SOUTHWARK PCN,72Q,E38000244,0.0,0.0,70.0,2.0,3.0,2.0,28.0,0.0,22.0,15.0,7848.0,1065.0,G85006,SE15 5SL,U60094,QKK,NHS South East London Integrated Care Board,EMIS
G85011,CLAPHAM FAMILY PRACTICE,U45098,CLAPHAM PCN,72Q,E38000244,0.0,0.0,25.0,0.0,10.0,2.0,45.0,0.0,32.0,23.0,18065.0,1364.0,G85011,SW4 7DB,U45098,QKK,NHS South East London Integrated Care Board,EMIS
G85013,CAMBERWELL GREEN SURGERY,U60094,SOUTH SOUTHWARK PCN,72Q,E38000244,0.0,0.0,78.0,7.0,10.0,2.0,27.0,0.0,24.0,18.0,7947.0,1145.0,G85013,SE5 7AF,U60094,QKK,NHS South East London Integrated Care Board,EMIS
G85014,STREATHAM COMMON PRACTICE,U99355,STREATHAM PCN,72Q,E38000244,0.0,0.0,24.0,1.0,9.0,3.0,68.0,1.0,58.0,47.0,10652.0,1518.0,G85014,SW16 3NP,U99355,QKK,NHS South East London Integrated Care Board,EMIS
G85015,THE QRP SURGERY,U53896,NORTH LEWISHAM PCN,72Q,E38000244,0.0,0.0,8.0,0.0,6.0,2.0,46.0,0.0,40.0,12.0,7576.0,1211.0,G85015,SE14 5HD,U53896,QKK,NHS South East London Integrated Care Board,EMIS
G85016,HERNE HILL GROUP PRACTICE,U39721,"HILLS, BROOKS & DALES GROUP PCN",72Q,E38000244,0.0,0.0,39.0,0.0,14.0,3.0,55.0,0.0,42.0,7.0,12963.0,1819.0,G85016,SE24 9QP,U39721,QKK,NHS South East London Integrated Care Board,EMIS
G85019,TRAFALGAR SURGERY,U06180,NORTH SOUTHWARK PCN,72Q,E38000244,0.0,0.0,5.0,0.0,0.0,0.0,6.0,0.0,5.0,5.0,2607.0,203.0,G85019,SE15 6NR,U06180,QKK,NHS South East London Integrated Care Board,EMIS
G85020,KINGFISHER MEDICAL CENTRE,U53896,NORTH LEWISHAM PCN,72Q,E38000244,0.0,0.0,13.0,1.0,2.0,1.0,18.0,0.0,17.0,12.0,14719.0,1053.0,G85020,SE8 5DA,U53896,QKK,NHS South East London Integrated Care Board,EMIS
G85021,PRENTIS MEDICAL CENTRE,U39721,"HILLS, BROOKS & DALES GROUP PCN",72Q,E38000244,0.0,0.0,17.0,0.0,5.0,11.0,41.0,0.0,42.0,30.0,4125.0,681.0,G85021,SW16 1XU,U39721,QKK,NHS South East London Integrated Care Board,EMIS
G85022,NORTH WOOD GROUP PRACTICE,U39721,"HILLS, BROOKS & DALES GROUP PCN",72Q,E38000244,0.0,0.0,35.0,0.0,12.0,5.0,104.0,2.0,63.0,46.0,13649.0,2150.0,G85022,SE19 3NY,U39721,QKK,NHS South East London Integrated Care Board,EMIS
G85023,LEWISHAM MEDICAL CENTRE,U21222,LEWISHAM ALLIANCE PCN,72Q,E38000244,0.0,0.0,17.0,0.0,7.0,3.0,44.0,0.0,36.0,23.0,12827.0,1147.0,G85023,SE13 5PJ,U21222,QKK,NHS South East London Integrated Care Board,EMIS
G85024,SYDENHAM GREEN GROUP PRACTICE,U23546,APLOS HEALTH PCN,72Q,E38000244,0.0,0.0,39.0,0.0,22.0,1.0,57.0,0.0,24.0,9.0,12279.0,2166.0,G85024,SE26 4TH,U23546,QKK,NHS South East London Integrated Care Board,EMIS
G85025,BRIXTON HILL GROUP PRACTICE,U39721,"HILLS, BROOKS & DALES GROUP PCN",72Q,E38000244,0.0,0.0,20.0,0.0,7.0,0.0,34.0,0.0,32.0,18.0,11915.0,925.0,G85025,SW2 1AE,U39721,QKK,NHS South East London Integrated Care Board,EMIS
G85026,CLIFTON RISE FAMILY PRACTICE,U53896,NORTH LEWISHAM PCN,72Q,E38000244,0.0,0.0,1.0,0.0,0.0,1.0,32.0,0.0,26.0,10.0,3634.0,673.0,G85026,SE8 4BG,U53896,QKK,NHS South East London Integrated Care Board,EMIS
G85028,STOCKWELL GROUP PRACTICE,U65434,STOCKWELLBEING PCN,72Q,E38000244,0.0,0.0,12.0,0.0,8.0,3.0,71.0,0.0,61.0,23.0,10912.0,1653.0,G85028,SW9 9TJ,U65434,QKK,NHS South East London Integrated Care Board,EMIS
G85029,FALMOUTH ROAD GROUP PRACTICE,U06180,NORTH SOUTHWARK PCN,72Q,E38000244,0.0,0.0,90.0,0.0,5.0,0.0,25.0,0.0,24.0,13.0,16045.0,898.0,G85029,SE1 4JW,U06180,QKK,NHS South East London Integrated Care Board,EMIS
G85030,PARKSIDE MEDICAL CENTRE,U60094,SOUTH SOUTHWARK PCN,72Q,E38000244,0.0,0.0,38.0,1.0,4.0,1.0,20.0,0.0,17.0,8.0,5354.0,647.0,G85030,SE5 7AQ,U60094,QKK,NHS South East London Integrated Care Board,EMIS
G85031,DMC CHADWICK ROAD,U60094,SOUTH SOUTHWARK PCN,72Q,E38000244,0.0,0.0,22.0,3.0,2.0,1.0,22.0,0.0,19.0,6.0,6081.0,750.0,G85031,SE15 4PU,U60094,QKK,NHS South East London Integrated Care Board,EMIS
G85032,TORRIDON ROAD MEDICAL PRACTICE,U58020,SEVENFIELDS PCN,72Q,E38000244,0.0,0.0,35.0,1.0,2.0,4.0,50.0,0.0,38.0,34.0,9983.0,1705.0,G85032,SE6 1RB,U58020,QKK,NHS South East London Integrated Care Board,EMIS
G85034,NEXUS HEALTH GROUP,U06180,NORTH SOUTHWARK PCN,72Q,E38000244,0.0,1.0,993.0,9.0,57.0,12.0,230.0,0.0,194.0,183.0,67595.0,7744.0,G85034,SE1 6JP,U06180,QKK,NHS South East London Integrated Care Board,EMIS
G85038,THE LEWISHAM CARE PARTNERSHIP,U11059,LEWISHAM CARE PARTNERSHIP PCN,72Q,E38000244,0.0,1.0,193.0,0.0,30.0,8.0,222.0,1.0,165.0,127.0,46134.0,5794.0,G85038,SE13 7SX,U11059,QKK,NHS South East London Integrated Care Board,EMIS
G85039,PAXTON GREEN GROUP PRACTICE,U60524,CROXTED PCN,72Q,E38000244,0.0,0.0,28.0,1.0,9.0,7.0,71.0,0.0,56.0,13.0,16888.0,2514.0,G85039,SE21 8AU,U60524,QKK,NHS South East London Integrated Care Board,EMIS
